Comment,Rating
"You must have an APPOINTMENT for this office! Make an appointment online at the mvd website or call ahead. You don't need to get there more than five minutes before the time as you will still need to wait.
They sometimes do walk ins but if they're busy they will turn you away.
We waited about an hour after the appointment time. You can check in with your phone and see your place in line.
My experience with the staff member I had was good and she was friendly.
The bathroom was fairly clean as well.",4
"You know you will have to wait when you usually go here. However, my suggestion is: MAKE AN APPOINTMENT ONLINE! Last time I was there I overheard someone...",3
You know what year it is?,1
"You know the drill, do your research, bring your documents, bring your wallet and lots of $$$, be told you need one more thing. Make a second trip back and...",4
"You know something is going right when I’m rating a DMV.  Make sure to sign up for an appointment through the website or the app and you’ll be in and out in no time.  It took me 11 minutes from the time I parked, to the time I was back in my car.  Friendly service as well.  Well done DMV!!",5
"You know something is going right when I’m rating a DMV.  Make sure to sign up for an appointment through the website or the app and you’ll be in and out in no time.  It took me 11 minutes from the time I parked, to the time I was back in my car.  Friendly service as well.  Well done DMV!!",5
"You know something is going right when I’m rating a DMV.  Make sure to sign up for an appointment through the website or the app and you’ll be in and out in no time.  It took me 11 minutes from the time I parked, to the time I was back in my car.  Friendly service as well.  Well done DMV!!",5
You know it is always a pain to do rags license ect. For years I do my renewals here they have always been professional quick and polite. You can't go wrong...,5
"You know how each year around a month before your birthday, if you own a car, you receive a mailing stating that you need to get the tag on your license...",5
You know,1
You hear all the horror stories and all the jokes about the State DMV. How mean and angry and slow... Blah blah blah. My last visit was exceptional! What I thought was turning into the worst possible scenario.... Didn't. Chris K. and Shelia were absolutely awesome! I'm grateful for them and their service. Thank you!,4
You hear all the horror stories and all the jokes about the State DMV. How mean and angry and slow... Blah blah blah. My last visit was exceptional! What I thought was turning into the worst possible scenario.... Didn't. Chris K. and Shelia were absolutely awesome! I'm grateful for them and their service. Thank you!,4
You have upheld the perceived image of the DMV! Your apathy is deafening and this is why the public has issues with the rest of us who work in the government sector. I would never be allowed to operate in this manner.,1
You have upheld the perceived image of the DMV! Your apathy is deafening and this is why the public has issues with the rest of us who work in the government sector. I would never be allowed to operate in this manner.,1
You have to schedule a appointment or you won't get in. When you show up for your appointment you text the number posted with that days code then they will call you in pretty quickly and there is basically no wait time once your in. The staff were very friendly and professional.,5
You have to make an appointment to go in but they were very fast and friendly very quick,5
You have to give at least 1 star right?  Should be ZERO.  This location has employees that make you really dislike the Secretary of State.  We happened to...,1
You have to get there early when they open and sign up for an appointment time. They will tell you what time to come back for your appointment. They open at 8 am.  I got there at 7:30 AM and there was already a line of six people in front of me and it really grew after I got there.  Staff is friendly and efficient and it was a pleasant experience. If you are getting the real ID drivers license be sure to go online first and get the checklist of the documentation you will need and have that with you. I will definitely go to this location again.,5
"You have to get there EARLY and stand in line!! We arrived at 6:20am for my two teenagers (one for a permit, one for an identification). They come out right...",4
"You have to expect to wait a bit when going to a place like this. However, when I was helped, it was very quick and they offered a ton of extra information that I needed without me having to ask. A great team of people.",5
"You have an appointment, they don't have it. Your screwed.  They are taking appointments in December now.",1
"You have an appointment, they don't have it. Your screwed.  They are taking appointments in December now.",1
You hate paying them but they have been nice to me. Gotta call 2-3 times in a row for them to answer.,4
You hate paying them but they have been nice to me. Gotta call 2-3 times in a row for them to answer.,4
"You guys were so fast and helpful. Someone stole my tag and got a ticket in Florida and you printed out all the information for me to try to help me get my license back. The lady that helped me was the best! Thank you all, so much, for real!",5
You guys ware great keep up the good work thanks for your help,5
you guys didnt answer my call and i called about 30 times,1
"You gotta go to an office, deal with some crank who clearly doesn't want to be there, to schedule (and pay for) trash pick up, call the day of pick up to confirm, only to have the trash never picked up.

Pawtucket City, baby!",1
"You gotta do what you gotta do, right?! Trying to get an appointment through the MI-time app was proving difficult at any of the more convenient locations...",3
"You folks sure helped me out; outstanding work!
When all the DMVs were completely overbooked w/ hundreds & hundreds of appointments; Your Office Staff completed & solved all of my DMV Drama in less than 15mins! Thanks so much 😀👍",5
"You folks sure helped me out; outstanding work!
When all the DMVs were completely overbooked w/ hundreds & hundreds of appointments; Your Office Staff completed & solved all of my DMV Drama in less than 15mins! Thanks so much 😀👍",5
"You folks sure helped me out; outstanding work!
When all the DMVs were completely overbooked w/ hundreds & hundreds of appointments; Your Office Staff completed & solved all of my DMV Drama in less than 15mins! Thanks so much 😀👍",5
"You ever seen the DMV scene from Zootopia, it wasn't quite that bad. Actually the little gal that I had help me was friendly and fast. Once the process started took about 10 minutes.",3
"You don't want to see my review on this place. Unorganized, couldn't be any slower, rude help. They may have to get a 2nd guard if that kind of service continues. They closed early because everyone was so mad. With service & employees like this, you're best to close it!",1
You do you have to have an appointment and still wait an hour??? No real info online and the phone number leads to a completely automated system. I gave 4 stars cause the employees were really nice,4
"You definitely want to make an appointment before coming in if possible. I went in on a Friday morning around 9 a.m.. because I had an appointment, I only...",5
You cant beat this place. Forget the DMV for anything to do with registration. Well worth the fee. I was in and out with my plates in 15b minutes.,5
"You can't avoid this place, even if you wanted too.  I had to renew my DL and get a new sticker for the car.  I was able to find a morning appointment,...",1
"You cannot get on a waitlist without using the app. The app doesn't work. The website doesn't work. While trying to get a status of my place in line, I was...",1
You cannot call 1 of the various BMV offices around cincinnati Hamilton county THE LINE IS BUSY EVERY DAY ALL DAY.. NO ITS BUSY FR OPEN TO CLOSE.. U CANNOT ASK A QUESTION OR VERIFY WHAT U NEED U HAVE TO PHYSICALLY GO THERE.. THEN THEY WILL SAY OH U DIDNT DO THIS OR THAT? WELL I DIDN'T KNOW AND U DONT ANSWER UR PHONE 6 DAYS WK AT ALL SO THANKS.. WASH WINSE.REPEAT... NO DON'T SAY ITS THE PANDEMIC THIS CRAPS BEEN GOIN ON YEARS..,1
You can’t get anyone to answer the phone. Your tax payer dollars put to work.,1
You can’t even get put on hold! The automated message just says “We are currently experiencing a high number of calls. Please try your call again.” Then it hangs up on you! You can’t even hit 1 to get a call back. What a joke.,1
You can take your knowledge exam here.,4
"You can schedule an appointment online for your branch of choice. It's so convenient. I didn't have to wait at all.
I do wish they would raise the camera a foot because anyone over 5'2 automatically has a double chin.",5
"You can check wait times online. 

You can make an appointment on their website. 

Do your homework prior to coming in to ensure you have the correct stuff...",5
YOU CAN CANSA CALL FOR CUSTOMER SERVICE BUT THE REPLY IS THE MOBILE IS NOT AVAILABLE TRY THEN,1
You can arrive before opening to save wait time. They have a ticket system so you can sit and wait until your number is called. They split the tickets into categories depending on the service you need. I arrived right at opening (8:30am) on a Tuesday for an out of state registration and license transfer and I got A22 (21 people in front of me seeking registration). My number was called at 10:05am so I had a total wait time of 1hr and 35min. The service at the counter was quick (approx. 5 minutes) and professional.,3
You can arrive before opening to save wait time. They have a ticket system so you can sit and wait until your number is called. They split the tickets into categories depending on the service you need. I arrived right at opening (8:30am) on a Tuesday for an out of state registration and license transfer and I got A22 (21 people in front of me seeking registration). My number was called at 10:05am so I had a total wait time of 1hr and 35min. The service at the counter was quick (approx. 5 minutes) and professional.,3
You can arrive before opening to save wait time. They have a ticket system so you can sit and wait until your number is called. They split the tickets into categories depending on the service you need. I arrived right at opening (8:30am) on a Tuesday for an out of state registration and license transfer and I got A22 (21 people in front of me seeking registration). My number was called at 10:05am so I had a total wait time of 1hr and 35min. The service at the counter was quick (approx. 5 minutes) and professional.,3
You can arrive before opening to save wait time. They have a ticket system so you can sit and wait until your number is called. They split the tickets into categories depending on the service you need. I arrived right at opening (8:30am) on a Tuesday for an out of state registration and license transfer and I got A22 (21 people in front of me seeking registration). My number was called at 10:05am so I had a total wait time of 1hr and 35min. The service at the counter was quick (approx. 5 minutes) and professional.,3
You are not going there to hang out and enjoy yourself. You have business to take care of and they are there to help with that. Everyone I have worked with there are super nice and work to get what you need done asap.,5
"You already know what you're getting into, so this review isn't really necessary. 

My one bit of advice is this: if you are certain of something, beyond...",1
You actually get to speak to a real human being on the phone! without waiting in a telephone queue for 45 minutes!  Amazing!  I think the service at the Court House in downtown Birmingham is also remarkably efficient.,5
"Yikes. Had a brief conversation and the tone of the person's voice was not welcoming or courteous at all. She did not have any manners whatsoever. I’m only giving 2 stars (rather than 1) because I’ve never stepped foot in the building, but a conversation like that makes me not want to do business here.

Message to manager: have your employees trained in customer service/experience.",2
"Yesterday, 05/22/2018, I took my daughter here to take her driving test as all the ones in the cities were booked. Many people made negative comments. The...",5
"Yesterday we went in to get my daughters learners permit.  The woman at the counter was very rude and short with us from the get go.  We had all the documents but 1 that was not listed on their website.  Apparently if you are under 18 you must have a form to show proof you’re in school and it must be within 30 days. We were not informed this.  Only if you look it up on the wake county school website you will find this. Forms such as driver education certificate and drivers eligibility certificate are not the same. My daughter and I was not greeted with any sort of compassion whatsoever.  In fact, the woman was trying her hardest to make us feel bad.  I suppose making others feel bad makes her feel superior. Obviously she feels small in her job and lives a miserable existence.  Her other coworkers as well, all enjoyed laughing at my daughter when they kept making her gather forms from me even after they gave me the forms back and told me to sit outside or go to my car. The staff just pretends everyone should know exactly what to do with absolutely no direction. They don’t realize we are customers and their job is to professionally and respectfully guide us.  And the machines are junky.  The DMV has a notorious bad rap and this office certainly proves why.  Avoid.",1
"Yesterday we went in to get my daughters learners permit.  The woman at the counter was very rude and short with us from the get go.  We had all the documents but 1 that was not listed on their website.  Apparently if you are under 18 you must have a form to show proof you’re in school and it must be within 30 days. We were not informed this.  Only if you look it up on the wake county school website you will find this. Forms such as driver education certificate and drivers eligibility certificate are not the same. My daughter and I was not greeted with any sort of compassion whatsoever.  In fact, the woman was trying her hardest to make us feel bad.  I suppose making others feel bad makes her feel superior. Obviously she feels small in her job and lives a miserable existence.  Her other coworkers as well, all enjoyed laughing at my daughter when they kept making her gather forms from me even after they gave me the forms back and told me to sit outside or go to my car. The staff just pretends everyone should know exactly what to do with absolutely no direction. They don’t realize we are customers and their job is to professionally and respectfully guide us.  And the machines are junky.  The DMV has a notorious bad rap and this office certainly proves why.  Avoid.",1
Yesterday was the best day to go to DMV I've never been in-and-out within 15 minutes Is at any dmv,3
Yesterday was the best day to go to DMV I've never been in-and-out within 15 minutes Is at any dmv,3
Yesterday my husband and I had the NICEST interaction with one of the DMV Clerk's. I did not get this gentleman's name but he was so helpful and kind! This...,5
"Yes, you will have to wait a little while. I got there really early to snag a same day (standby appointment). I managed to get one. Honestly, every DPS is slow moving, especially during the current situation. However, all the staff here were polite and showed decent customer service. I have been to this one back in like 2012/15 and they either trained the staff OR they hired new people because it was a smooth running machine.",5
"Yes, the DMV gets a 5-star rating from me.  The new check-in process online is a great new feature.  I like that I can go & not have to wait in line...",5
"Yes they were friendly, but they do not take Duval county residents for
new title and tags, ONLY St Johns county.  So DONOT go there if you are 
NOT a...",5
"Yes the lines were pretty long but once I got to the window the Young lady with blond curly hair was super sweet and kind, she seemed to be as happy as me...",4
Yes I'd like to think Secretary of State here on Taylor in Taylor I was just there and without an appointment the security guard kindly answered my...,5
"Yes I gave the DMV 4 stars.

I went in to renew my drivers license during lunch.

They got me in and out well less than am hour.

They have a pretty good...",4
"Yep, Don't waste your time. They won't answer the phone. You don't like it, too bad. FIRE JOEY TREADWAY. Maybe then someone will think the taxpayer is important. If he doesn't care about us why should we care about him? I will say, and the reason I give 3 stars, is that they have been very helpful in person. I know that there are many redundant questions asked by people who could look up the answers to most questions asked, however, there are many senior citizens who very much need phone help! Hire someone at $10 an hour to answer the phone and service the citizens who NEED that help! Mr. Treadway is not doing us a favor providing solutions, it's HIS JOB. Senior citizens and the disabled MUST be provided the opportunity to discuss their problem with a PERSON who can help them with their specific challenges. And that's all I'm going to say about that!",3
"Yelp review for BMV Lorain County Title Iffice

          All I needed was to change my old Wv to my new Ohio address.        The several BMV offices I...",5
"Yelp 

 I found registration on the website a little confusing and registering a new car during COVID adds some extra steps. Also, they are constantly...",4
"Yea just don't waste your time. They're extremely rude and then they kept texting me off two different numbers, they told me my plates were ready and when I...",1
"Yall ever feel like opening this place back up again? It's pretty dang clear that Billings and the surrounding areas need more than a single DMV office, Billings office completely backed up with appointments and walk-ins.",1
Y'all do not respect times and on top of that give a hard time to citizens. Most of the driver examiners will try to bearly assist.  Driver examiner Silvia needs to apply emotional needs and not be too robotic; she needs to provide with precise feedback that will work for future appointments. Coaching opportunity detected!,1
Y'all could really save people a lot of time by just putting information about  reinstatements having to be done over the phone by calling the Baton Rouge...,1
"Wyandotte County is a joke.  We moved here in 2020.  Due to the pandemic we had to mail our information in to renew/transfer our vehicle tags.  I made sure our new address was on every single page, and even included a cover sheet with every car, vin, tag number and our new address on it.  Was transferring three cars from Leavenworth County to Wyandotte County.  Mailed the papers in around the end of June 2020.  Come OCTOBER 2020, we still hadn't received our renewals.  We did however receive our State Parks sticker (Oh and our check was cashed within a week!!!!) ??  Finally in November they tell me they didn't have record of my new address and I needed to complete another form.  Did that - still took about 3 weeks to get my renewal stickers.  Here's the kicker - they did not send the County sticker (WY) so my plates still show LV even though I'm registered in Wyandotte.  I'm afraid when I go to renew this year, they are going to screw it up again!  It's impossible to talk to a human being.  Other counties in the state are not like this, I don't know why Wyandotte makes it so hard & frustrating on it's citizens.",1
"Writing this mainly for the benefit of anyone who has never been here before. My first visit here for a temporary placard. Most challenging part for me was parking in the correct lot. I tried to park in the employee lot due to not seeing the small sign indicating employees only. I thought I had found the only spot in the corner without a reserved numbered slot 😊haha! Nope!  there must be a camera in parking lot because I was greeted by security which let me know I was in employee lot and could be towed if I didn’t move it. He also instructed me on how to drive around the block to to get to the other side of the building where the larger parking lot is for customers. Once inside, every employee was very friendly and professional. There was plenty of places to sit. FYI masks are required and debit card fee is $1.50 so if you don’t want to pay fee bring cash.",4
"Wowzers!! Amazing experience! Friendliest group of individuals. Service was fast and easy, considering I was from  Hawaii. I read all the reviews on yelp...",5
"Wow--is not a comment you are used to hearing in a good way regarding the DMV, but I had such a good experience today. They literally called my number...",4
Wow. So very different from the East branch. I have been to about three different County Clerks today (an unfortunate expert on the matter haha) and this...,5
Wow. No reason to wait in line anywhere else. These people are very knowledgable and friendly. I called and had many questions which I was promptly walked...,5
"Wow. In the olden days a trip to the DMV was on par with the dentist. Not any more. This is get in get out in no time. 
Sons car needed tags. Boom...gottem...",5
"Wow. I never thought I'd be impressed by a DMV but I have to admit I was here when I came in to renew my driver's license 

The key is to get here early...",4
"Wow. I just wrapped it up with DMV on a registration of a vehicle. They were professional and knowledgeable. AND there was no wait. Oh yeah. 

There was...",5
"Wow. I have never transferred titles before and didn't know what to expect. After being at the courthouse to do it I thought it would be damn near impossible. However, Kem is the coolest person on this planet!!! She was beyond helpful and most of all friendly. She got all of my stuff squared away quickly and easily!! Please don't go anywhere else with your stuff, this woman knows what she is doing and WILL get it done!!",5
"Wow. I have never been more disappointed in a money-hungry state tax system.
I was planning on attending 1-2 events per year in the state of TN, but not after the hoops I've had to try to jump through to satisfy this crazy department. Monthly returns. $15 fees if you don't file exactly on time every. single. month. even if you are in the state 1-2 days out of 365 days.
Difficult online system to understand, no emails or reminders until they send you a ""proposed tax bill"" of $500+. No paper options. This is completely ridiculous. So entirely upset that they make no effort to contact you except for to collect on some fictional number of taxes.",1
"Wow. Easy Peasy. 

I was expecting to spend the entire morning here. But, in and out in one hour and 10 mins and it would have been less time had it not...",5
Wow. Coming from NYC this place was a dream. What would have took hours back home with headaches crying babies nasty attitudes took less than 20 minutes...,5
"Wow.  This is not the old DMV.  How awesome that they have a lot of people helping out.  

Lunch time the office is brisk and busy, however my other visits...",5
"Wow, total assholes! Extremely rude! Extremely unhelpful! Tried to recover a stole vehicle. DMV closed because of COVID 19. Couldn't do it online because...",1
"Wow, this has the be the most pleasant experience I've ever had at a DMV! I stopped by here to take my motorcycle written test during the pandemic. They...",5
"Wow, There's a 12 deep waiting line at 6:30am because the  rediculous driver's license office is understaffed and crazy slow. If you are very far down the...",1
"WOW, the service this morning was fast, friendly and very professional. I was in and out within 20 minutes. I had to get a certified copy of a Notice of Sale. The lady at the Record counter was so helpful, funny and made my experience complete..... keep up the great attitude and your awesome service !!!!!",5
"WOW, the service this morning was fast, friendly and very professional. I was in and out within 20 minutes. I had to get a certified copy of a Notice of Sale. The lady at the Record counter was so helpful, funny and made my experience complete..... keep up the great attitude and your awesome service !!!!!",5
"Wow, the DMV sure has changed. I wrote up an experience 20 years ago that was a 3 day nightmare. This was like night vs day. The folks were polite, helpful, and talkative. It was very clean and efficient. Kind id makes you wish you could renew every year, (not really though). Keep up the good work PA.",5
"Wow, is this the BMV or Chik-Fil-A?  Got here about 10 minutes before opening and there were about 15 people in line.  5 minutes before opening 2 people came out to take my info, answer any questions, and provide a clipboard with a form of needed.  I then got a text with my number and was in the door by 2 minutes after opening and then the unbelievably nice workers here just sped through all the people in a great way.  Really impressed.  Great job!",5
"Wow, I was delayed in 2020 renewing my drivers license with the Covid 19 shutdown.  DMV Allowed a one year extension to my license which was great.  Now...",5
"Wow, even if it is a North Carolina DMV office, this place is kind of cool. Now, I'm not saying it's the type pf place you'd come to just to hang around,...",5
"Wow, am I impressed! I swear every time I go to the DMV I feel like I'm there forever and the staff are rude/short. 

But, today I was in and out within 15...",5
Wow!!!! Took care of my request very fast with very friendly service! Thanks LA DMV!!!,5
Wow!!! Highly recommend. I walked in to replace my drivers license and was out of there in 10 minutes.also very considerate and kind staff. Best dmv experience ever!,5
Wow!! What an experience there. Live and learn. Don't go to the DMV without an appointment people. It's a nightmare. Unless you have an appointment. If you don't then go on Saturdays when it's first come first serve basis. Today I spent 6 1/2 hrs there. But at the end when I was helped I can say that I was treated with respect and in an excellent way. Had the most professional treatment. Thank you young lady who helped me. Hope you see this. You're AWESOME!!,4
Wow!! What an experience there. Live and learn. Don't go to the DMV without an appointment people. It's a nightmare. Unless you have an appointment. If you don't then go on Saturdays when it's first come first serve basis. Today I spent 6 1/2 hrs there. But at the end when I was helped I can say that I was treated with respect and in an excellent way. Had the most professional treatment. Thank you young lady who helped me. Hope you see this. You're AWESOME!!,4
"WOW!! Best experience I’ve ever had at a BMV. Our family has moved to 4 diff states in the last 10 years. Extremely organized and the office had the best positive energy.
Nate was awesome to work with. He was very
professional and personable. I walked away with a huge smile. I highly recommend this location!",5
"WOW! What a pleasant experience I just had with Nataly! She was very thorough, efficient and friendly! Her customer service skills definitely deserves recognition! From the moment I walked up to the counter she extended a warm greeting and apologized for the wait while she sanitized the counter. She  was  friendly throughout the entire process and made what is usually a monotonous transaction feel very comfortable! I walked in a little irritated and walked out very pleased! Thanks for providing such great service! 😊",5
Wow! Walked in to a crowd of people and my hubby wanted to go to another location. We pulled a ticket and heard them call a number to realize we were 6 in...,5
"WOW! This is the second time I've purchased a vehicle and needed to turn the title over to my name.  Last time I went to the place down the road, that place was dirty filled with people, and I was trying to figure out if I needed to write something down or what.... I am SO SO glad that I ended up at River City!!!!!!
Immediately when I walked in the door I could tell this place was miles ahead of the others! It was spotless, there was snacks and coffee!! The Extremely kind lady looked up and said ""someone will be with you in a minute""   Sure enough she hurried with what she was working on and then asked how she could help.  She was very kind and explained things and answered my questions. She even had me double check the info before I left.
If I had my way I would make it mandatory for every retailer in SA to go here for training!",5
Wow! The new office is clean and nice. The employees were actually courteous and pleasent. A definite improvement I arrived to renew my plates and I was in...,5
Wow! The customer service here is above and beyond! We are so grateful for Etta and Janeen. They helped guide us through getting our Real IDs and made the whole experience fun and enjoyable. Amazing team!,5
Wow! So efficient. Such kind workers. Such cleanliness. Best experience at a motor vehicles of my life.,5
Wow! So efficient. Such kind workers. Such cleanliness. Best experience at a motor vehicles of my life.,5
"Wow! Same day, no notice vehicle inspection in December no less. Took maybe 20 minutes, very impressed! Also they said they can do oil changes on BMW if that is of interest to you. Nice little customer lounge they have as well.",5
WOW! Quickest service on island. In and out within 10 minutes. Booked an appointment online same day. Staff was fast and efficient. Take advantage of this...,5
"Wow! Lexington's DMV is the best DMV I've ever been in. Automated, fast, friendly. Clean. Air conditioned. Plenty of people working there. Their xerox was...",4
Wow! In and out in 5 minutes! Eagan had a long line at 9am. Was worth the extra little drive to not stand in line.,5
Wow! I’m not used to the ease and courtesy with which I was treated when I got my WA drivers license! Back in NY I would never be treated like this! What a great experience! Directions to get my license were very clear and the person helping me was incredibly nice!!,5
Wow! I’m not used to the ease and courtesy with which I was treated when I got my WA drivers license! Back in NY I would never be treated like this! What a great experience! Directions to get my license were very clear and the person helping me was incredibly nice!!,5
Wow! I was in and out in 20 minutes. What they are doing there to be so productive is staff at the entrance that can help and see if you have everything you...,5
"Wow! I walked in with no appointment to register my vehicle at about 9:45 a.m..  There was no line, I was told to basically stand to be 1st in line. As soon as I got in ""line"", the available employee said next. I was in and out in 10 min! The two people I had interactions with were both pleasant.  They now take debit/credit.  Pre pandemic it was only cash and they had an ATM. Thank you.",5
"Wow! I walked in with no appointment to register my vehicle at about 9:45 a.m..  There was no line, I was told to basically stand to be 1st in line. As soon as I got in ""line"", the available employee said next. I was in and out in 10 min! The two people I had interactions with were both pleasant.  They now take debit/credit.  Pre pandemic it was only cash and they had an ATM. Thank you.",5
"Wow! I walked in with no appointment to register my vehicle at about 9:45 a.m..  There was no line, I was told to basically stand to be 1st in line. As soon as I got in ""line"", the available employee said next. I was in and out in 10 min! The two people I had interactions with were both pleasant.  They now take debit/credit.  Pre pandemic it was only cash and they had an ATM. Thank you.",5
"Wow! I walked in with no appointment to register my vehicle at about 9:45 a.m..  There was no line, I was told to basically stand to be 1st in line. As soon as I got in ""line"", the available employee said next. I was in and out in 10 min! The two people I had interactions with were both pleasant.  They now take debit/credit.  Pre pandemic it was only cash and they had an ATM. Thank you.",5
"Wow! I walked in with no appointment to register my vehicle at about 9:45 a.m..  There was no line, I was told to basically stand to be 1st in line. As soon as I got in ""line"", the available employee said next. I was in and out in 10 min! The two people I had interactions with were both pleasant.  They now take debit/credit.  Pre pandemic it was only cash and they had an ATM. Thank you.",5
"Wow! I walked in with no appointment to register my vehicle at about 9:45 a.m..  There was no line, I was told to basically stand to be 1st in line. As soon as I got in ""line"", the available employee said next. I was in and out in 10 min! The two people I had interactions with were both pleasant.  They now take debit/credit.  Pre pandemic it was only cash and they had an ATM. Thank you.",5
"Wow! I think this is my first-ever 100% positive experience at a DMV license plate office! They were safe (all wearing masks), efficient (I only waited about 2 minutes) and accurate with my tag swap - perfect all the way around.
Even if you have to go out of the way a little bit, I highly recommend visiting this office if you have vehicle title/registration/plate tasks to deal with - you'll be happy you did :)",5
Wow! I have been dreading renewing everything. I’m thinking this is going to be a long process. I’m going to forget a document for the compliant license. The employees here made it quick and easy. This is the most efficient license bureau I have ever been to. They have a great system in place to get you in and out. Thank you to all the employees that helped me today. I appreciate you!,5
"Wow! I feel like the dmv here is like a whole new experience!!!! Rebecca is like a new BFF....super helpful (even helped with my hair!!!).....we laughed ,...",5
"Wow!  Very organized with their people moving regimen during these times of pandemic.  You check in, and yes, you have to wait in your car until they page...",5
"Wow!  So close now and so conveniently located!

This EZ TAG Store only opened about a year ago.  It's located in the same complex as the Academy Sports...",4
Wow!  My husband told me that you can now make an appointment with Secretary of State.  I was dubious but I did it anyways. I had a 1 PM appointment and...,5
"Wow!  Every bad stereotype of the DMV was exploded by the professional, efficient, and knowledgeable staff at the RIA DMV.  Helpful, smart, and knew their...",5
"Wow
I didn't expect such good service.

The lady at the motor vehicle for my tags helped me by looking up my personal property tax.  I showed her my water bill from April 2021 that was paid.  Go figure.

Then I went to pay my July 2021 water and trash bill.  Smooth as can be.  Change back from my hundred.  Really nice person.

I had a successful experience in the men's room.  Enough about that except it was very clean.

The person taking my 2.00 for parking was nice and wished me a nice weekend.

The reason this is so unusual is it's 16 July and the Cardinals are playing.  It's a total madhouse everywhere else including the streets.

If I need to say it...
I really appreciate it.",5
"Wow wow wow this place is a gem! Anyone who's been to any other DMV has probably had a miserable experience at least once, which makes going to the Cape May...",5
Wow what a great place to do what I needed for my registration. Ailin answered all my questions when I called so I showed up at her business which is also...,5
Wow this was by far the easiest BMV experience I've ever had I checked in online walked right in and went up to the desk . was out in five minutes to get my...,5
